0;0.555
1;0.555
2;0.521
3;0.536
4;0.563
5;0.545
6;0.526
7;0.542
8;0.536
9;0.57
10;0.57
11;0.565
0-1;0.521
0-2;0.51
0-3;0.487
0-4;0.543
0-5;0.488
0-6;0.492
0-7;0.497
0-8;0.515
0-9;0.547
0-10;0.552
0-11;0.544
1-2;0.513
1-3;0.5
1-4;0.547
1-5;0.494
1-6;0.488
1-7;0.529
1-8;0.544
1-9;0.565
1-10;0.565
1-11;0.555
2-3;0.505
2-4;0.508
2-5;0.486
2-6;0.472
2-7;0.515
2-8;0.526
2-9;0.526
2-10;0.544
2-11;0.536
3-4;0.515
3-5;0.519
3-6;0.5
3-7;0.537
3-8;0.534
3-9;0.544
3-10;0.539
3-11;0.536
4-5;0.515
4-6;0.513
4-7;0.54
4-8;0.513
4-9;0.547
4-10;0.549
4-11;0.549
5-6;0.483
5-7;0.502
5-8;0.523
5-9;0.55
5-10;0.537
5-11;0.568
6-7;0.486
6-8;0.477
6-9;0.513
6-10;0.505
6-11;0.507
7-8;0.497
7-9;0.518
7-10;0.518
7-11;0.523
8-9;0.547
8-10;0.539
8-11;0.534
9-10;0.568
9-11;0.557
10-11;0.578
