0;0.911
1;0.911
2;0.912
3;0.91
4;0.912
5;0.909
6;0.91
7;0.908
8;0.912
9;0.912
10;0.91
11;0.907
0-1;0.902
0-2;0.906
0-3;0.905
0-4;0.905
0-5;0.907
0-6;0.906
0-7;0.906
0-8;0.908
0-9;0.902
0-10;0.91
0-11;0.907
1-2;0.905
1-3;0.902
1-4;0.909
1-5;0.906
1-6;0.906
1-7;0.908
1-8;0.909
1-9;0.91
1-10;0.906
1-11;0.908
2-3;0.906
2-4;0.905
2-5;0.906
2-6;0.908
2-7;0.906
2-8;0.909
2-9;0.908
2-10;0.906
2-11;0.904
3-4;0.902
3-5;0.908
3-6;0.906
3-7;0.908
3-8;0.906
3-9;0.907
3-10;0.91
3-11;0.908
4-5;0.903
4-6;0.906
4-7;0.906
4-8;0.91
4-9;0.91
4-10;0.906
4-11;0.903
5-6;0.902
5-7;0.905
5-8;0.906
5-9;0.902
5-10;0.904
5-11;0.902
6-7;0.904
6-8;0.906
6-9;0.903
6-10;0.906
6-11;0.904
7-8;0.907
7-9;0.91
7-10;0.911
7-11;0.91
8-9;0.91
8-10;0.912
8-11;0.906
9-10;0.896
9-11;0.901
10-11;0.895
