0;0.625
1;0.628
2;0.628
3;0.588
4;0.606
5;0.671
6;0.657
7;0.653
8;0.65
9;0.617
10;0.614
11;0.599
0-1;0.61
0-2;0.581
0-3;0.599
0-4;0.61
0-5;0.635
0-6;0.653
0-7;0.632
0-8;0.617
0-9;0.614
0-10;0.653
0-11;0.639
1-2;0.596
1-3;0.628
1-4;0.614
1-5;0.61
1-6;0.621
1-7;0.635
1-8;0.621
1-9;0.599
1-10;0.61
1-11;0.592
2-3;0.596
2-4;0.563
2-5;0.61
2-6;0.639
2-7;0.606
2-8;0.61
2-9;0.585
2-10;0.621
2-11;0.574
3-4;0.599
3-5;0.603
3-6;0.625
3-7;0.599
3-8;0.617
3-9;0.56
3-10;0.574
3-11;0.588
4-5;0.625
4-6;0.628
4-7;0.65
4-8;0.61
4-9;0.574
4-10;0.596
4-11;0.578
5-6;0.65
5-7;0.635
5-8;0.686
5-9;0.617
5-10;0.614
5-11;0.585
6-7;0.653
6-8;0.661
6-9;0.625
6-10;0.639
6-11;0.621
7-8;0.671
7-9;0.625
7-10;0.675
7-11;0.614
8-9;0.61
8-10;0.646
8-11;0.596
9-10;0.632
9-11;0.61
10-11;0.585
