0;0.929
1;0.919
2;0.922
3;0.921
4;0.923
5;0.931
6;0.919
7;0.922
8;0.924
9;0.92
10;0.93
11;0.929
0-1;0.92
0-2;0.922
0-3;0.916
0-4;0.925
0-5;0.922
0-6;0.922
0-7;0.931
0-8;0.921
0-9;0.921
0-10;0.929
0-11;0.925
1-2;0.922
1-3;0.917
1-4;0.928
1-5;0.924
1-6;0.923
1-7;0.923
1-8;0.925
1-9;0.929
1-10;0.931
1-11;0.925
2-3;0.92
2-4;0.92
2-5;0.922
2-6;0.922
2-7;0.916
2-8;0.922
2-9;0.929
2-10;0.924
2-11;0.93
3-4;0.922
3-5;0.916
3-6;0.922
3-7;0.921
3-8;0.921
3-9;0.921
3-10;0.92
3-11;0.924
4-5;0.921
4-6;0.911
4-7;0.917
4-8;0.923
4-9;0.919
4-10;0.927
4-11;0.921
5-6;0.927
5-7;0.925
5-8;0.925
5-9;0.929
5-10;0.933
5-11;0.928
6-7;0.919
6-8;0.914
6-9;0.922
6-10;0.916
6-11;0.914
7-8;0.922
7-9;0.922
7-10;0.916
7-11;0.916
8-9;0.917
8-10;0.92
8-11;0.921
9-10;0.928
9-11;0.924
10-11;0.925
