0;0.886
1;0.883
2;0.877
3;0.879
4;0.884
5;0.887
6;0.886
7;0.886
8;0.882
9;0.883
10;0.882
11;0.885
0-1;0.877
0-2;0.878
0-3;0.876
0-4;0.877
0-5;0.881
0-6;0.884
0-7;0.882
0-8;0.88
0-9;0.881
0-10;0.881
0-11;0.874
1-2;0.865
1-3;0.873
1-4;0.875
1-5;0.88
1-6;0.883
1-7;0.878
1-8;0.88
1-9;0.877
1-10;0.875
1-11;0.879
2-3;0.874
2-4;0.878
2-5;0.884
2-6;0.882
2-7;0.877
2-8;0.877
2-9;0.876
2-10;0.869
2-11;0.877
3-4;0.876
3-5;0.878
3-6;0.877
3-7;0.873
3-8;0.874
3-9;0.876
3-10;0.868
3-11;0.881
4-5;0.886
4-6;0.885
4-7;0.882
4-8;0.883
4-9;0.876
4-10;0.869
4-11;0.882
5-6;0.889
5-7;0.881
5-8;0.882
5-9;0.884
5-10;0.88
5-11;0.885
6-7;0.887
6-8;0.884
6-9;0.882
6-10;0.879
6-11;0.882
7-8;0.883
7-9;0.885
7-10;0.885
7-11;0.885
8-9;0.88
8-10;0.887
8-11;0.885
9-10;0.88
9-11;0.881
10-11;0.883
