0;0.507
1;0.465
2;0.465
3;0.437
4;0.493
5;0.549
6;0.408
7;0.465
8;0.507
9;0.549
10;0.408
11;0.282
0-1;0.451
0-2;0.563
0-3;0.465
0-4;0.451
0-5;0.268
0-6;0.493
0-7;0.451
0-8;0.451
0-9;0.479
0-10;0.479
0-11;0.31
1-2;0.268
1-3;0.38
1-4;0.254
1-5;0.282
1-6;0.366
1-7;0.366
1-8;0.31
1-9;0.408
1-10;0.423
1-11;0.254
2-3;0.521
2-4;0.38
2-5;0.239
2-6;0.324
2-7;0.324
2-8;0.282
2-9;0.521
2-10;0.437
2-11;0.211
3-4;0.451
3-5;0.282
3-6;0.211
3-7;0.239
3-8;0.239
3-9;0.493
3-10;0.423
3-11;0.282
4-5;0.254
4-6;0.211
4-7;0.225
4-8;0.225
4-9;0.521
4-10;0.239
4-11;0.282
5-6;0.211
5-7;0.254
5-8;0.296
5-9;0.521
5-10;0.254
5-11;0.423
6-7;0.254
6-8;0.211
6-9;0.563
6-10;0.225
6-11;0.254
7-8;0.225
7-9;0.338
7-10;0.507
7-11;0.254
8-9;0.423
8-10;0.394
8-11;0.296
9-10;0.535
9-11;0.254
10-11;0.268
