0;0.758
1;0.867
2;0.868
3;0.867
4;0.866
5;0.869
6;0.87
7;0.874
8;0.875
9;0.876
10;0.874
11;0.878
0-1;0.346
0-2;0.318
0-3;0.692
0-4;0.827
0-5;0.857
0-6;0.487
0-7;0.867
0-8;0.841
0-9;0.717
0-10;0.872
0-11;0.666
1-2;0.858
1-3;0.859
1-4;0.86
1-5;0.864
1-6;0.864
1-7;0.864
1-8;0.868
1-9;0.868
1-10;0.869
1-11;0.868
2-3;0.858
2-4;0.86
2-5;0.86
2-6;0.862
2-7;0.866
2-8;0.868
2-9;0.87
2-10;0.869
2-11;0.869
3-4;0.858
3-5;0.856
3-6;0.857
3-7;0.864
3-8;0.864
3-9;0.869
3-10;0.866
3-11;0.87
4-5;0.859
4-6;0.858
4-7;0.864
4-8;0.867
4-9;0.868
4-10;0.866
4-11;0.866
5-6;0.861
5-7;0.863
5-8;0.868
5-9;0.864
5-10;0.867
5-11;0.865
6-7;0.866
6-8;0.866
6-9;0.869
6-10;0.874
6-11;0.868
7-8;0.868
7-9;0.87
7-10;0.872
7-11;0.868
8-9;0.873
8-10;0.877
8-11;0.876
9-10;0.875
9-11;0.876
10-11;0.876
