0;0.834
1;0.918
2;0.918
3;0.92
4;0.918
5;0.922
6;0.921
7;0.925
8;0.927
9;0.927
10;0.927
11;0.925
0-1;0.83
0-2;0.912
0-3;0.844
0-4;0.916
0-5;0.914
0-6;0.912
0-7;0.907
0-8;0.921
0-9;0.926
0-10;0.92
0-11;0.898
1-2;0.907
1-3;0.907
1-4;0.91
1-5;0.91
1-6;0.914
1-7;0.919
1-8;0.921
1-9;0.921
1-10;0.916
1-11;0.921
2-3;0.909
2-4;0.911
2-5;0.919
2-6;0.916
2-7;0.92
2-8;0.919
2-9;0.92
2-10;0.921
2-11;0.919
3-4;0.911
3-5;0.913
3-6;0.915
3-7;0.915
3-8;0.922
3-9;0.921
3-10;0.917
3-11;0.921
4-5;0.912
4-6;0.916
4-7;0.919
4-8;0.919
4-9;0.919
4-10;0.921
4-11;0.919
5-6;0.915
5-7;0.917
5-8;0.919
5-9;0.923
5-10;0.92
5-11;0.919
6-7;0.917
6-8;0.922
6-9;0.919
6-10;0.92
6-11;0.918
7-8;0.924
7-9;0.928
7-10;0.926
7-11;0.923
8-9;0.925
8-10;0.927
8-11;0.928
9-10;0.931
9-11;0.925
10-11;0.927
