0;0.527
1;0.69
2;0.697
3;0.65
4;0.668
5;0.679
6;0.668
7;0.693
8;0.711
9;0.693
10;0.682
11;0.718
0-1;0.505
0-2;0.48
0-3;0.523
0-4;0.48
0-5;0.473
0-6;0.527
0-7;0.491
0-8;0.487
0-9;0.477
0-10;0.563
0-11;0.531
1-2;0.625
1-3;0.578
1-4;0.625
1-5;0.61
1-6;0.668
1-7;0.646
1-8;0.628
1-9;0.69
1-10;0.671
1-11;0.581
2-3;0.585
2-4;0.606
2-5;0.625
2-6;0.679
2-7;0.657
2-8;0.65
2-9;0.708
2-10;0.639
2-11;0.664
3-4;0.596
3-5;0.578
3-6;0.682
3-7;0.621
3-8;0.628
3-9;0.675
3-10;0.643
3-11;0.534
4-5;0.646
4-6;0.661
4-7;0.628
4-8;0.657
4-9;0.704
4-10;0.686
4-11;0.578
5-6;0.65
5-7;0.657
5-8;0.671
5-9;0.693
5-10;0.69
5-11;0.632
6-7;0.675
6-8;0.679
6-9;0.708
6-10;0.661
6-11;0.639
7-8;0.664
7-9;0.679
7-10;0.671
7-11;0.621
8-9;0.704
8-10;0.715
8-11;0.7
9-10;0.646
9-11;0.697
10-11;0.708
