0;0.573
1;0.887
2;0.892
3;0.892
4;0.885
5;0.89
6;0.893
7;0.891
8;0.895
9;0.903
10;0.898
11;0.891
0-1;0.307
0-2;0.755
0-3;0.674
0-4;0.456
0-5;0.851
0-6;0.486
0-7;0.289
0-8;0.472
0-9;0.667
0-10;0.229
0-11;0.23
1-2;0.88
1-3;0.862
1-4;0.876
1-5;0.881
1-6;0.883
1-7;0.885
1-8;0.885
1-9;0.891
1-10;0.893
1-11;0.885
2-3;0.87
2-4;0.873
2-5;0.879
2-6;0.887
2-7;0.889
2-8;0.886
2-9;0.896
2-10;0.893
2-11;0.89
3-4;0.879
3-5;0.879
3-6;0.881
3-7;0.883
3-8;0.885
3-9;0.886
3-10;0.888
3-11;0.886
4-5;0.877
4-6;0.886
4-7;0.884
4-8;0.887
4-9;0.887
4-10;0.888
4-11;0.886
5-6;0.885
5-7;0.891
5-8;0.891
5-9;0.89
5-10;0.89
5-11;0.892
6-7;0.895
6-8;0.893
6-9;0.894
6-10;0.899
6-11;0.895
7-8;0.893
7-9;0.895
7-10;0.899
7-11;0.899
8-9;0.897
8-10;0.899
8-11;0.896
9-10;0.895
9-11;0.896
10-11;0.903
