0;0.479
1;0.563
2;0.563
3;0.563
4;0.563
5;0.563
6;0.563
7;0.563
8;0.563
9;0.563
10;0.563
11;0.437
0-1;0.549
0-2;0.563
0-3;0.366
0-4;0.563
0-5;0.521
0-6;0.577
0-7;0.535
0-8;0.563
0-9;0.577
0-10;0.563
0-11;0.437
1-2;0.563
1-3;0.563
1-4;0.563
1-5;0.563
1-6;0.563
1-7;0.563
1-8;0.563
1-9;0.563
1-10;0.563
1-11;0.563
2-3;0.563
2-4;0.563
2-5;0.563
2-6;0.563
2-7;0.563
2-8;0.563
2-9;0.563
2-10;0.563
2-11;0.563
3-4;0.563
3-5;0.563
3-6;0.563
3-7;0.563
3-8;0.563
3-9;0.563
3-10;0.563
3-11;0.423
4-5;0.563
4-6;0.563
4-7;0.563
4-8;0.563
4-9;0.563
4-10;0.563
4-11;0.437
5-6;0.563
5-7;0.563
5-8;0.563
5-9;0.563
5-10;0.563
5-11;0.451
6-7;0.563
6-8;0.563
6-9;0.563
6-10;0.563
6-11;0.451
7-8;0.563
7-9;0.563
7-10;0.563
7-11;0.423
8-9;0.563
8-10;0.563
8-11;0.437
9-10;0.563
9-11;0.563
10-11;0.549
